ts,pred,side,model_type
ts,thr,long,kinds_used
2025-09-18 14:13:44+0000,0.430000,long,lstm|tcn|tx
2025-09-18 14:13:46+0000,0.270000,long,lstm|tcn|tx
2025-09-18 14:14:20+0000,0.430000,long,lstm|tcn|tx
2025-09-18 14:14:51+0000,0.270000,long,lstm|tcn|tx
2025-09-18 14:14:57+0000,0.430000,long,lstm|tcn|tx
2025-09-18 14:15:32+0000,0.430000,long,lstm|tcn|tx
2025-09-18 14:15:56+0000,0.270000,long,lstm|tcn|tx
2025-09-18 14:16:11+0000,0.430000,long,lstm|tcn|tx
2025-09-18 14:16:45+0000,0.430000,long,lstm|tcn|tx
2025-09-18 14:17:00+0000,0.270000,long,lstm|tcn|tx
2025-09-18 14:17:20+0000,0.430000,long,lstm|tcn|tx
2025-09-18 14:17:54+0000,0.430000,long,lstm|tcn|tx
2025-09-18 14:18:04+0000,0.270000,long,lstm|tcn|tx
2025-09-18 14:18:29+0000,0.430000,long,lstm|tcn|tx
2025-09-18 14:19:03+0000,0.430000,long,lstm|tcn|tx
2025-09-18 14:19:08+0000,0.270000,long,lstm|tcn|tx
2025-09-18 14:19:38+0000,0.430000,long,lstm|tcn|tx
2025-09-18 14:20:14+0000,0.270000,long,lstm|tcn|tx
2025-09-18 14:21:16+0000,0.270000,long,lstm|tcn|tx
2025-09-18 14:22:20+0000,0.270000,long,lstm|tcn|tx
2025-09-18 14:23:23+0000,0.270000,long,lstm|tcn|tx
2025-09-18 14:24:28+0000,0.270000,long,lstm|tcn|tx
2025-09-18 14:25:36+0000,0.270000,long,lstm|tcn|tx
2025-09-18 14:26:32+0000,0.422514,long,lstm|tcn|tx
2025-09-18 14:26:48+0000,0.270000,long,lstm|tcn|tx
2025-09-18 14:27:42+0000,0.422514,long,lstm|tcn|tx
2025-09-18 14:27:59+0000,0.270000,long,lstm|tcn|tx
2025-09-18 14:28:53+0000,0.422514,long,lstm|tcn|tx
2025-09-18 14:29:08+0000,0.270000,long,lstm|tcn|tx
2025-09-18 14:30:05+0000,0.422514,long,lstm|tcn|tx
2025-09-18 14:30:19+0000,0.270000,long,lstm|tcn|tx
2025-09-18 14:31:16+0000,0.422514,long,lstm|tcn|tx
2025-09-18 14:31:28+0000,0.270000,long,lstm|tcn|tx
2025-09-18 14:32:26+0000,0.422514,long,lstm|tcn|tx
2025-09-18 14:32:36+0000,0.270000,long,lstm|tcn|tx
2025-09-18 14:33:30+0000,0.422514,long,lstm|tcn|tx
2025-09-18 14:33:40+0000,0.270000,long,lstm|tcn|tx
2025-09-18 14:34:34+0000,0.422514,long,lstm|tcn|tx
2025-09-18 14:34:44+0000,0.270000,long,lstm|tcn|tx
2025-09-18 14:35:37+0000,0.422514,long,lstm|tcn|tx
2025-09-18 14:35:48+0000,0.270000,long,lstm|tcn|tx
2025-09-18 14:36:41+0000,0.422514,long,lstm|tcn|tx
2025-09-18 14:36:51+0000,0.270000,long,lstm|tcn|tx
2025-09-18 14:37:47+0000,0.422514,long,lstm|tcn|tx
2025-09-18 14:37:56+0000,0.270000,long,lstm|tcn|tx
2025-09-18 14:38:53+0000,0.422514,long,lstm|tcn|tx
2025-09-18 14:39:00+0000,0.270000,long,lstm|tcn|tx
2025-09-18 14:40:00+0000,0.422514,long,lstm|tcn|tx
2025-09-18 14:40:05+0000,0.270000,long,lstm|tcn|tx
2025-09-18 14:41:18+0000,0.270000,long,lstm|tcn|tx
2025-09-18 14:42:32+0000,0.270000,long,lstm|tcn|tx
2025-09-18 14:43:46+0000,0.270000,long,lstm|tcn|tx
2025-09-18 14:44:59+0000,0.270000,long,lstm|tcn|tx
2025-09-18 15:10:05+0000,0.422514,long,lstm|tcn|tx
2025-09-18 15:11:09+0000,0.422514,long,lstm|tcn|tx
2025-09-18 15:12:16+0000,0.422514,long,lstm|tcn|tx
2025-09-18 15:13:19+0000,0.422514,long,lstm|tcn|tx
2025-09-18 15:14:26+0000,0.422514,long,lstm|tcn|tx
2025-09-18 15:15:32+0000,0.422514,long,lstm|tcn|tx
2025-09-18 15:16:35+0000,0.422514,long,lstm|tcn|tx
2025-09-18 15:17:39+0000,0.422514,long,lstm|tcn|tx
2025-09-18 15:18:44+0000,0.422514,long,lstm|tcn|tx
2025-09-18 15:19:50+0000,0.422514,long,lstm|tcn|tx
2025-09-18 15:21:00+0000,0.422514,long,lstm|tcn|tx
2025-09-18 15:22:04+0000,0.422514,long,lstm|tcn|tx
2025-09-18 15:23:07+0000,0.422514,long,lstm|tcn|tx
2025-09-18 15:24:12+0000,0.422514,long,lstm|tcn|tx
2025-09-18 15:25:26+0000,0.422514,long,lstm|tcn|tx
2025-09-18 15:26:39+0000,0.422514,long,lstm|tcn|tx
2025-09-18 15:27:57+0000,0.422514,long,lstm|tcn|tx
2025-09-18 15:29:10+0000,0.422514,long,lstm|tcn|tx
2025-09-18 15:35:15+0000,0.422514,long,lstm|tcn|tx
2025-09-18 15:36:27+0000,0.422514,long,lstm|tcn|tx
2025-09-18 15:37:37+0000,0.422514,long,lstm|tcn|tx
2025-09-18 15:38:51+0000,0.422514,long,lstm|tcn|tx
2025-09-18 15:40:04+0000,0.422514,long,lstm|tcn|tx
2025-09-18 15:41:13+0000,0.422514,long,lstm|tcn|tx
2025-09-18 15:42:21+0000,0.422514,long,lstm|tcn|tx
2025-09-18 15:43:29+0000,0.422514,long,lstm|tcn|tx
2025-09-18 15:44:44+0000,0.422514,long,lstm|tcn|tx
2025-09-18 15:45:58+0000,0.422514,long,lstm|tcn|tx
2025-09-18 15:47:12+0000,0.422514,long,lstm|tcn|tx
2025-09-18 15:48:29+0000,0.422514,long,lstm|tcn|tx
2025-09-18 15:49:48+0000,0.422514,long,lstm|tcn|tx
2025-09-18 15:51:06+0000,0.422514,long,lstm|tcn|tx
2025-09-18 15:52:19+0000,0.422514,long,lstm|tcn|tx
2025-09-18 15:53:35+0000,0.422514,long,lstm|tcn|tx
2025-09-18 15:54:56+0000,0.422514,long,lstm|tcn|tx
2025-09-18 15:56:16+0000,0.422514,long,lstm|tcn|tx
2025-09-18 15:57:39+0000,0.422514,long,lstm|tcn|tx
2025-09-18 15:59:00+0000,0.422514,long,lstm|tcn|tx
2025-09-18 16:00:27+0000,0.422514,long,lstm|tcn|tx
2025-09-18 16:01:53+0000,0.422514,long,lstm|tcn|tx
2025-09-18 16:03:23+0000,0.422514,long,lstm|tcn|tx
2025-09-18 16:04:46+0000,0.422514,long,lstm|tcn|tx
2025-09-18 16:06:05+0000,0.422514,long,lstm|tcn|tx
2025-09-18 16:07:26+0000,0.422514,long,lstm|tcn|tx
2025-09-18 16:08:49+0000,0.422514,long,lstm|tcn|tx
2025-09-18 16:10:09+0000,0.422514,long,lstm|tcn|tx
2025-09-18 16:11:24+0000,0.422514,long,lstm|tcn|tx
